sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length(cm),width(cm),preimeter(cm),area(cm),state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp(in),max_temp C,min_temp C,avg_temp C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp(6monthsprior),avg_tmax_previous_ year,avg_tmin_previous_ year,tavg_previous_ year,avg_tmax_ year_DOC,avg_tmin_ year_DOC,tavg_ year_DOC,avgprecp(6monthsprior),avg_precp_previous_year,avg_precp_year_DOC
79,CBP_1_LSU_FLOR,3.985423667,0.149851615,Type3,simplex,6.50,1.70,27.18,26.63,FL,Southeast,tallahassee,tallahassee3,"Tallahassee, Leon County, Florida",30.46,-84.25,61.00,March,2,1967,0.00,21.00,4.22,12.61,20.62,7.54,14.08,25.37,13.10,19.23,26.41,12.92,19.67,2.78,3.79,3.36
80,CBP_1_LSU_GEOR,1.602655863,0.169804111,Type3,simplex,2.33,1.50,9.75,9.55,GA,Southeast,N/A,N/A,"Statesboro, Bulloch County, Georgia",32.67,-81.33,77.10,March,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
81,CBP_1_LSU_UTAH,3.517877618,0.444663723,Type3,simplex,4.43,1.19,9.49,9.51,UT,Southwest,herriman,herriman,"Herriman, Salt Lake County, Utah",40.54,-112.05,1532.16,May,6,1995,0.00,15.43,0.98,8.20,8.57,-2.58,2.99,17.05,3.62,10.34,16.40,3.14,9.77,3.05,2.25,2.38
82,CBP_1_LSU_VIR,2.719008779,0.077470252,Type3,simplex,4.74,1.74,24.37,23.84,VI,Southeast,emporia,emporia,"Emporia, Southampton County, Virginia",36.58,-77.20,1705.00,March,31,1979,0.00,27.80,15.30,21.55,15.03,1.67,8.35,22.26,8.78,15.52,19.70,7.11,13.41,3.08,3.40,4.00
83,CBP_1_MARY_MARY,3.39227352,0.217007834,Type6,simplex,11.26,3.61,37.83,37.22,MD,Northeast,galestown,galestown,Dorchester County_Maryland_Galestown,38.57,-75.71,4.00,April,21,2015,23.91,111.48,-4.64,53.42,10.46,-0.26,5.10,19.23,8.18,13.71,20.32,8.00,14.16,3.51,3.40,3.23
84,CBP_1_MISS_GEOR,2.432677552,0.132623313,Type6,simplex,4.74,1.63,18.53,18.11,GA,Southeast,athens,athens1,"Athens, Clarke County, Georgia",33.95,-83.38,194.00,April,1,1964,0.00,18.68,2.78,10.73,13.51,0.36,6.94,22.02,8.67,15.35,22.22,9.47,15.85,5.40,4.63,4.78
85,CBP_1_MOR_ILL,3.016123921,0.414416183,Type3,simplex,6.25,1.75,15.55,15.20,IL,Ohio_Valley,momence,momence,"Momence, Kankakee County, Illinois",41.16,-87.60,189.00,September,15,1975,0.37,19.53,8.62,14.08,24.66,12.31,18.49,15.27,4.85,10.06,15.62,4.98,10.30,3.86,2.88,2.88
86,CBP_1_MSSA_UTAH,3.505706862,0.358556592,Type3,simplex,5.76,1.41,13.71,13.53,UT,Southwest,saltlakecity,saltlakecity1,"Salt Lake City, Salt Lake County, Utah",40.76,-111.89,1307.20,June,10,1880,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,CBP_1_MSU_ARIZ,5.074049242,0.30053592,Type3,simplex,3.46,0.44,7.68,7.83,AZ,Southwest,sedona,sedona,Coconine County_Arizona_Sedona,35.03,-111.75,1330.00,May,6,1961,0.00,17.80,2.44,10.12,14.66,-1.72,6.47,21.72,4.54,13.13,21.04,4.04,12.54,8.26,10.19,12.05
88,CBP_1_MSU_MICH,4.03392857,0.291309629,Type3,simplex,8.06,1.84,20.94,20.76,MI,Upper_Midwest,Williamston,Williamston,"Williamston, Ingham County, Michigan",42.69,-84.28,2591.00,September,26,2021,1.47,19.50,7.91,13.71,23.88,11.66,17.77,15.03,3.96,9.49,15.44,4.53,9.99,3.96,2.92,3.13
89,CBP_1_MSU_WAS,4.325872153,0.387359338,Type3,simplex,3.54,0.74,7.44,7.38,WA,Northwest,ashford,ashford,Pierce County_Washington_Ashford,46.84,-121.78,4000.00,September,31,1962,,,,,,,,,,,,,,,,
90,CBP_1_MUHW_INDI,2.775792143,0.196523512,Type3,simplex,6.07,2.20,23.61,23.07,IN,Ohio_Valley,southport,southport2,"Southport, Marion County, Indiana",39.66,-86.12,228.00,April,27,1935,3.65,25.30,13.60,19.45,9.70,-0.33,4.68,19.29,7.30,13.29,17.38,6.35,11.86,1.58,1.77,2.76
91,CBP_1_MUHW_OHIO,3.134221209,0.354244165,Type6,simplex,3.15,0.88,7.59,7.49,OH,Ohio_Valley,ironton,ironton,"Ironton, Lawrence County, Ohio",38.60,-82.64,301.00,April,27,1984,0.90,29.43,11.87,20.65,9.32,-2.53,3.39,18.49,5.15,11.82,18.20,5.48,11.84,2.66,3.09,2.76
92,CBP_1_MUHW_VIR,2.171501741,0.136609203,Type3,simplex,3.30,1.05,14.40,14.07,VI,Southeast,lynchburg,lynchburg1,"Lynchburg, Campbell County, Virginia",37.23,-79.29,301.00,April,10,1984,4.98,12.22,1.12,6.67,10.65,0.12,5.38,18.62,7.28,12.95,19.56,8.25,13.91,4.30,3.43,3.15
93,CBP_1_MUSK_MICH,2.526401491,0.248852188,Type3,simplex,4.33,1.69,15.13,14.97,MI,Upper_Midwest,N/A,N/A,N/A,N/A,N/A,N/A,September,N/A,1940,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,CBP_1_NCSC_FLOR,2.312126952,0.232171194,Type6,simplex,5.71,2.37,20.71,20.46,FL,Southeast,tallahassee,tallahassee4,"Tallahassee, Leon County, Florida",30.46,-84.25,61.00,March,14,1957,0.36,26.04,15.24,20.64,22.76,10.11,16.43,26.72,14.12,20.42,26.50,14.67,20.59,1.38,2.80,4.46
95,CBP_1_NCSC_VIR,3.254610502,0.242090869,Type3,simplex,4.97,1.55,15.73,15.45,VI,Southeast,norfolk,norfolk1,"Norfolk City, N/A, Virginia",36.89,-76.30,301.00,March,31,1975,3.72,13.39,2.84,8.05,14.68,3.98,9.33,20.45,10.35,15.40,20.95,10.93,15.94,3.08,3.48,3.68
96,CBP_1_NCSC_WAS,3.147084355,0.140165603,Type3,simplex,3.37,1.14,13.89,13.54,WA,Northwest,pullman,pullman,Whitman County_Washington_Pullman,46.74,-117.16,,March,12,1965,0.85,9.62,1.05,5.33,7.98,-1.18,3.40,15.32,2.98,9.15,16.74,3.74,10.24,2.19,1.53,1.03
97,CBP_1_NCU_ALA,4.271783304,0.233337795,Type3,simplex,4.37,0.87,12.84,12.39,AL,Southeast,lauderdalecounty,lauderdalecounty,"N/A, Lauderdale County, Alabama",34.87,-87.59,475.00,March,26,1969,0.00,7.88,-0.12,3.88,14.31,1.65,7.98,22.21,9.01,15.61,21.71,8.28,15.00,3.41,3.50,4.06
98,CBP_1_NCU_DELA,2.023214523,0.077667354,Type3,simplex,4.00,1.95,25.98,25.77,DE,Northeast,marydel,marydel,"Marydel, Kent County, Delaware",39.10,-75.74,301.00,May ,2,1980,1.70,21.32,9.07,15.19,2.76,2.76,2.76,17.14,8.29,12.71,17.34,8.77,13.06,2.76,2.93,3.31
99,CBP_1_NCU_GEOR,2.44435507,0.1073525,Type3,simplex,4.32,1.63,21.71,21.34,GA,Southeast,bowman,bowman,"Bowman, Elbert County, Georgia ",34.21,-83.03,238.00,March,25,1978,4.60,23.13,6.91,14.93,14.31,2.37,8.34,22.59,9.99,16.29,22.50,9.53,16.02,3.87,3.44,2.84
100,CBP_1_NCU_VIR,2.685289065,0.238413863,Type3,simplex,1.90,0.56,6.18,6.05,VI,Southeast,richmond,richmond1," Richmond, New Kent County, Virginia",37.54,-77.43,50.70,May,9,1970,0.00,32.22,14.58,23.40,11.37,-0.34,5.51,20.01,8.30,14.15,20.24,8.37,14.30,2.73,3.38,2.25
101,CBP_1_NHMU_UTAH,2.965846781,0.251292746,Type3,simplex,3.56,1.17,10.94,10.78,UT,Southwest,saltlakecity,saltlakecity2,"Salt Lake City, Salt Lake County, Utah",40.67,-112.09,1425.76,May,6,1995,7.73,12.70,2.14,7.42,8.41,-3.04,2.68,16.93,3.00,9.97,16.45,2.60,9.53,2.97,2.20,2.36
102,CBP_1_NKU-KNK_OHIO,3.415234437,0.444911373,Type3,simplex,4.00,1.02,8.84,8.77,OH,Ohio_Valley,lebanon,lebanon,"Lebanon, Warren County, Ohio",39.45,-84.10,301.00,April,27,1992,2.49,9.63,4.77,7.20,9.43,-0.64,4.39,18.37,7.05,12.71,16.84,5.95,11.40,2.22,2.34,2.63
103,CBP_1_NLU_MICH,3.333408876,0.194370748,Type3,simplex,4.40,1.20,14.29,13.97,MI,Upper_Midwest,Muskegon,Muskegon,"Muskegon, Muskegon County, Michigan",43.25,-86.33,647.00,May,8,1976,0.05,13.00,-2.58,5.21,5.36,-3.90,0.73,14.27,3.97,9.12,12.87,1.86,7.37,2.90,3.22,1.97
104,CBP_1_NLU_VIR,3.446897598,0.144307913,Type3,simplex,6.06,1.48,20.18,19.85,VI,Southeast,norfolk,norfolk2,"Norfolk City, N/A, Virginia",36.89,-76.30,301.00,March,31,1975,3.72,13.39,2.84,8.05,14.68,3.98,9.33,20.45,10.35,15.40,20.95,10.93,15.94,3.08,3.48,3.68
105,CBP_1_NY_ARIZ,2.94465736,0.276902846,Type3,simplex,3.13,0.81,8.75,8.69,AZ,Southwest,cottonwood,cottonwood,Yavapai County_Arizona_Cottonwood,34.69,-111.05,1236.00,February,28,2010,7.41,5.81,-2.71,1.55,13.63,-1.33,6.15,18.51,2.71,10.61,16.79,3.50,10.15,27.69,17.78,23.29
106,CBP_1_NY_DELA,2.326917363,0.090808422,Type3,simplex,3.10,1.28,17.43,17.30,DE,Northeast,,,"Seaford, Sussex County, Delaware",38.69,-75.48,301.00,April,2,2011,,,,,,,,,,,,,,,,
107,CBP_1_NY_IDA,,,,,2.72,0.84,5.96,5.96,ID,Northwest,boise,boise,Ada County_Idaho_Boise,43.61,-116.20,2880.00,May,6,1911,N/A,N/A,N/A,N/A,9.80,-2.33,3.73,17.74,2.36,10.05,16.98,1.72,9.35,1.56,1.41,1.42
108,CBP_1_NY_MARY,2.532633402,0.143580382,Type3,simplex,4.28,1.57,20.57,20.45,MD,Northeast,easton,easton,Talbot County_Maryland_Easton,38.77,-76.07,11.00,March,27,2010,40.18,100.29,0.68,50.48,10.98,2.17,6.57,18.92,9.47,14.20,18.41,7.36,12.88,4.58,4.74,3.20
109,CBP_1_NY_NEVA,3.826000321,0.298161932,Type3,simplex,7.05,1.63,17.15,17.12,NV,West,welcome,welcome,Elko County_Nevada_Welcome,41.05,-115.18,1733.00,May,23,1941,2.45,25.10,6.66,15.88,9.25,-4.80,2.22,15.87,-1.01,7.43,19.66,2.66,11.16,1.11,0.88,1.31
110,CBP_1_NY_UTAH,2.961774455,0.2464822,Type3,simplex,6.84,1.55,20.48,20.27,UT,Southwest,saltlakecity,saltlakecity3,"Salt Lake City, Salt Lake County, Utah",40.76,-111.89,1307.20,June,10,1880,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111,CBP_1_NY_VIR,2.356601685,0.131767608,Type3,simplex,3.49,1.37,17.84,17.65,VI,Southeast,accomac,accomac,"Accomac, Accomack County, Virginia",37.81,-75.59,301.00,April,3,2011,0.97,13.97,4.04,9.00,10.02,0.79,5.40,19.77,9.93,14.85,20.45,10.61,15.53,2.01,2.40,2.91
112,CBP_1_OBI_UTAH,4.600960824,0.253083061,Type6,simplex,6.38,1.19,16.33,16.10,UT,Southwest,northlogan,northlogan1,"North Logan, Cache County, Utah",41.77,-111.80,4251.00,May,22,1964,0.00,25.28,9.33,17.31,4.86,-8.00,-1.57,14.83,-0.35,7.24,14.34,-0.98,6.68,1.06,1.19,1.25
113,CBP_1_OCU_OKLA,2.97434816,0.259989663,Type3,simplex,4.87,1.44,15.11,14.96,OK,South,oklahomacity,oklahomacity2,"Oklahoma CIty, Oklahoma County, Oklahoma",35.48,-97.51,365.00,March,30,1992,0.00,14.40,5.85,10.13,16.23,4.37,10.30,23.26,11.24,17.25,22.22,10.18,16.20,2.33,3.00,2.92
114,CBP_1_ODU_VIR,2.774910124,0.544057116,Type3,simplex,1.28,0.45,2.89,2.87,VI,Southeast,norfolk,norfolk3,"Norfolk City, Norfolk County, Virginia",36.89,-76.31,301.00,March,9,1969,10.72,8.14,0.76,4.45,12.62,4.05,8.34,19.94,10.65,15.30,18.89,9.92,14.41,2.97,2.85,3.34
115,CBP_1_PH_DELA,2.569677447,0.071822997,Type3,simplex,6.02,2.15,31.59,31.15,DE,Northeast,,,"Wilmington, New Castle County, Delaware",39.74,-75.64,301.00,May,15,1882,,,,,,,,,,,,,,,,
116,CBP_1_PH_MARY,2.944544917,0.241344462,Type6,simplex,7.40,2.07,23.51,23.35,MD,Northeast,silverspring,silverspring1,Montgomery County_Maryland_Silver Spring,39.00,-77.04,104.00,April,10,1910,27.80,111.95,3.31,57.63,10.46,-0.61,4.93,18.16,6.59,12.38,18.64,7.19,12.92,1.96,2.30,2.82
117,CBP_1_SAT_Tex,3.426300213,0.592867949,Type6,simplex,4.30,1.25,10.01,9.80,TX,South,Waco,Waco1,"Waco, Texas",31.55,-97.15,142.00,February,15,1982,0.00,20.46,8.76,14.61,20.98,7.95,14.46,25.25,12.71,18.98,25.49,12.89,19.19,2.11,2.46,1.97
118,CBP_1_SAT_Tex,3.379548388,0.354170097,Type6,simplex,2.75,1.08,5.33,5.35,TX,South,Waco,Waco1,"Waco, Texas",31.55,-97.15,142.00,February,15,1982,0.00,20.46,8.76,14.61,20.98,7.95,14.46,25.25,12.71,18.98,25.49,12.89,19.19,2.11,2.46,1.97
119,CBP_1_SDNHM_OHIO,2.51257419,0.165260153,Type3,simplex,4.82,1.62,20.14,20.04,OH,Ohio_Valley,N/A,N/A,Ohio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,CBP_1_SJNM_ARIZ,1.934059783,0.078740766,Type3,simplex,2.59,1.38,15.07,14.95,AZ,Southwest,wheatfields,wheatfields,"Apache County_Arizona_Lukachukai, Tsaile, Wheatfields",36.41,-109.10,2221.00,May,18,1986,0.00,7.25,13.05,10.15,12.62,-1.30,5.66,19.16,4.17,11.67,18.41,4.80,11.60,2.02,5.46,6.25
121,CBP_1_TCC_OHIO,3.155960999,0.123484442,Type3,simplex,5.50,1.70,23.85,22.80,OH,Ohio_Valley,hamilton,hamilton2,"Hamilton, Butler County, Ohio",39.37,-84.66,3004.00,April,5,1990,0.54,13.40,-0.19,6.61,8.42,-2.80,2.81,17.33,5.38,11.36,18.65,6.38,12.51,2.78,3.23,4.07
122,CBP_1_TENN_FLOR,2.665278658,0.265893099,Type3,simplex,4.93,1.53,16.07,15.84,FL,Southeast,tallahassee,tallahassee5,"Tallahassee, Leon County, Florida",30.46,-84.25,61.00,March,14,1957,0.36,26.04,15.24,20.64,22.76,10.11,16.43,26.72,14.12,20.42,26.50,14.67,20.59,1.38,2.80,4.46
123,CBP_1_TENN_GEOR,2.994610183,0.164330798,Type3,simplex,6.00,2.14,25.76,25.36,GA,Southeast,athens,athens2,"Athens, Clarke County, Georgia",33.95,-83.38,194.00,April,3,1929,0.00,22.77,10.00,16.38,15.92,2.87,9.40,23.21,10.35,16.78,22.79,10.63,16.71,6.08,5.70,5.31
124,CBP_1_TROY_ALA,2.801942552,0.307725526,Type3,simplex,2.23,1.00,18.80,18.75,AL,Southeast,dothan,dothan,"Dothan, Houston County, Alabama",31.23,-85.39,317.00,December,11,2011,0.38,12.98,2.64,7.81,28.94,15.43,22.19,26.26,12.10,19.18,26.56,12.50,19.53,3.40,3.00,3.15
125,CBP_1_TTRS_GEOR,3.308086339,0.322917952,Type3,simplex,3.70,0.95,9.30,9.23,GA,Southeast,gray,gray,"Gray, Jones County, Georgia",33.01,-83.53,184.00,April,11,1965,1.41,26.36,15.58,20.97,17.59,4.28,10.94,24.08,11.07,17.58,23.61,10.43,17.02,3.79,3.50,3.01
126,CBP_1_UAM_OHIO,2.882563141,0.156311847,Type3,simplex,3.00,1.00,11.56,11.22,OH,Ohio_Valley,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.36,-81.79,301.00,April,8,1942,11.68,16.68,-0.08,8.30,7.88,-2.21,2.84,18.11,5.54,11.83,17.02,5.02,11.02,1.98,2.69,2.59
127,CBP_1_UCHT_GEOR,2.469602811,0.511433735,Type3,simplex,3.63,1.44,8.83,8.78,GA,Southeast,dalton,dalton,"Dalton, Whitfield County, Georgia",33.01,-83.53,232.00,May,5,1968,2.43,26.57,11.40,18.98,17.77,3.67,10.72,23.08,9.41,16.24,23.59,9.95,16.77,2.32,2.71,2.62
128,CBP_1_UCHT_WAS,4.328676686,0.411263799,Type3,simplex,5.53,1.28,11.37,11.37,WA,Northwest,anacortes,anacortes,Skagit County_Washignton_Anacortes,48.42,-122.66,50.00,June,11,1965,8.95,17.82,9.95,13.89,11.98,3.08,7.53,13.89,4.87,9.38,14.66,5.42,10.04,2.60,2.34,2.14
129,CBP_1_UGA_ALA,4.494820363,0.318754418,Type3,simplex,6.24,1.24,13.49,13.46,AL,Southeast,andalusia,andalusia2,"Andalusia, Covington County, Alabama",31.41,-86.61,357.00,December,30,2017,0.10,15.72,2.09,8.91,27.67,16.86,22.27,26.52,15.27,20.89,26.54,15.31,20.92,4.81,5.69,5.70
130,CBP_1_UGA_GEOR,3.667831928,0.42564472,Type3,simplex,6.72,1.49,15.28,15.23,GA,Southeast,darien,darien2,"Darien, McIntosh County, Georgia",31.38,-81.44,9.10,December,29,1959,0.29,18.97,6.50,12.74,26.67,16.81,21.74,25.11,14.65,19.88,25.12,14.65,19.88,4.30,4.36,4.37
131,CBP_1_UGA_IDA,,,,,5.29,1.90,24.15,23.68,ID,Northwest,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.87,-112.43,1360.00,September,25,1952,0.00,30.64,3.66,17.15,25.55,6.43,15.99,14.68,-0.62,7.03,15.37,-0.86,7.25,0.54,0.64,0.58
132,CBP_1_UL_ALA,2.272998438,0.125647865,Type3,simplex,6.54,2.63,33.29,32.46,AL,Southeast,florence,florence,"Florence, Lauderdale County, Alabama",34.80,-87.68,170.00,April,10,1973,0.33,11.58,2.05,6.82,14.20,2.49,8.35,22.11,9.32,15.72,23.39,10.40,16.89,7.20,5.30,5.21
133,CBP_1_ULA_WIS,3.938825205,0.248761354,Type3,simplex,2.14,0.51,5.80,5.66,WI,Upper_Midwest,madison,madison1,"Madison, Dane County, Wisconsin",43.05,-89.40,239.00,May,16,1978,0.00,16.60,8.08,12.34,2.65,-8.99,-3.17,2.65,-8.99,-3.17,2.65,-8.99,-3.17,1.79,1.79,1.79
134,CBP_1_UNA_ALA,2.635317367,0.226262896,Type3,simplex,3.54,1.18,12.14,11.86,AL,Southeast,tuscumbia,tuscumbia,"Tuscumbia, Colbert County, Alabama",34.73,-87.70,144.00,March,28,1973,0.00,20.56,6.83,13.69,N/A,N/A,N/A,22.39,9.56,15.97,23.50,10.51,17.00,N/A,5.18,5.19
135,CBP_1_UNA_ILL,2.793862038,0.380638726,Type3,simplex,4.74,1.52,13.59,13.11,IL,Ohio_Valley,starkcounty,starkcounty,"Stark County, Illinois",41.09,-89.80,267.00,May,26,1907,N/A,N/A,N/A,N/A,8.06,-2.22,2.92,16.03,4.59,10.31,15.16,4.21,9.68,2.26,2.36,2.60
136,CBP_1_UNM_OKLA,2.916384857,0.156086077,Type3,simplex,4.45,1.05,17.20,16.30,OK,South,bristow,bristow,"Bristow, Creek County, Oklahoma",35.83,-96.39,247.00,April,3,1933,0.00,21.00,5.83,13.41,14.12,0.93,7.52,23.06,9.60,16.33,23.95,10.78,17.37,1.95,2.20,2.64
137,CBP_1_Uofl_INDI,3.405866922,0.48440157,Type3,simplex,3.76,0.92,8.40,8.38,IN,Ohio_Valley,N/A,N/A,Indiana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,CBP_1_URV_VIR,3.155007018,0.501060227,Type3,simplex,4.91,1.56,11.05,11.00,VI,Southeast,richmond,richmond3,"RIchmond, Nottoway County, Virginia",37.54,-77.43,50.70,May,3,1942,1.52,31.98,16.55,24.26,15.66,3.65,9.66,22.63,10.22,16.43,22.27,9.59,15.93,2.63,3.24,2.69
139,CBP_1_USF_ALA,2.955906125,0.175266646,Type3,simplex,3.69,1.19,11.27,11.19,AL,Southeast,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68.00,March,26,1955,2.17,25.32,-4.22,10.55,18.23,4.55,11.39,25.59,11.27,18.43,24.39,10.77,17.58,3.61,2.81,3.16
140,CBP_1_USF_FLOR,3.820315359,0.412721427,Type3,simplex,4.23,0.98,9.19,9.19,FL,Southeast,plantcity,plantcity,"Plant City, Hillsborough County, Florida",28.02,-82.11,40.00,April,4,1989,1.98,30.98,17.50,24.24,25.79,13.35,19.57,29.00,16.92,22.96,29.18,17.05,23.11,2.27,3.39,3.26
141,CBP_1_USFS_ARIZ,1.741253424,0.303309098,Type3,simplex,4.95,2.75,18.34,18.23,AZ,Southwest,roosevelt,roosevelt,Gila County_Arizona_Roosevelt,33.67,-111.13,675.00,December,6,2000,0.00,19.76,4.44,12.10,29.93,15.78,22.85,27.36,12.06,19.71,27.40,12.09,19.74,17.32,10.76,10.79
142,CBP_1_USMS_OHIO,4.650686584,0.180532228,Type6,simplex,5.33,1.22,13.83,12.44,OH,Ohio_Valley,columbus,columbus,"Columbus, Franklin County, Ohio",40.01,-83.04,222.00,May,5,2005,0.04,17.54,0.67,9.11,8.12,-1.94,3.09,17.05,6.17,11.61,17.20,5.91,11.56,3.46,3.56,3.00
143,CBP_1_UWFP_ALA,2.976442831,0.269161808,Type3,simplex,11.17,2.61,33.02,32.90,AL,Southeast,mobile,mobile2,"Mobile, Mobile County, Alabama",30.70,-88.04,3.00,January,15,2012,0.00,17.04,0.63,8.83,25.64,13.24,19.44,26.19,14.05,20.12,25.98,14.53,20.26,3.24,3.44,5.01
144,CBP_1_UWFP_FLOR,1.984860072,0.182234258,Type3,simplex,5.59,2.68,26.78,26.46,FL,Southeast,pensacola,pensacola1,"Pensacola, Escambia County, Florida",30.43,-87.24,31.00,January,30,1975,0.26,23.32,17.22,20.27,24.58,12.92,18.75,25.97,14.33,20.15,25.58,14.69,20.13,3.53,3.40,6.22
145,CBP_1_VCU_VIR,3.877088647,0.213581449,Type3,rhomboidea,6.09,1.16,17.33,17.16,VI,Southeast,hopewell,hopewell1,"Hopewell, Charles City County, Virginia",37.30,-77.29,15.00,April,17,1978,0.00,15.57,6.13,10.85,11.98,0.04,6.01,22.53,9.39,15.96,21.81,8.69,15.25,3.37,3.40,3.37
146,CBP_1_VPI_VIR,2.464631134,0.163013042,Type3,simplex,4.39,1.56,17.61,17.15,VI,Southeast,radford,radford1,"Radford, Montgomery County, Virginia",37.13,-80.58,641.00,March,27,1981,0.19,15.85,0.57,8.21,9.95,-3.29,3.33,17.72,3.92,10.82,17.04,3.55,10.30,1.67,2.39,2.35
147,CBP_1_VSC_GEOR,3.622742444,0.170511732,Type3,simplex,6.43,1.80,20.34,20.11,GA,Southeast,darien,darien3,"Darien, McIntosh County, Georgia",31.38,-81.44,9.10,March,24,1958,9.98,16.77,9.86,13.31,18.13,6.62,12.37,24.06,13.28,18.67,24.27,13.10,18.69,2.90,4.50,3.08
148,CBP_1_VSC_VIR,3.212401153,0.160993546,Type3,simplex,4.26,1.29,15.17,14.69,VI,Southeast,suffolkcity,suffolkcity1,"Suffolk City, Virginia",36.73,-76.58,31.00,April,1,1979,0.00,26.11,12.29,19.20,12.33,2.18,7.26,20.20,10.05,15.13,20.05,9.99,15.02,3.78,3.44,4.33
149,CBP_1_WGC_WAS,3.71453206,0.262854963,Type3,simplex,4.03,1.03,10.90,10.53,WA,Northwest,cheney,cheney,Spokane County_Washington_Cheney,47.49,-117.58,2300.00,April,15,1965,0.26,19.80,4.53,12.17,4.91,-3.23,0.84,14.49,2.33,8.41,15.64,3.26,9.45,1.91,1.33,1.01
150,CBP_1_WIS_WIS,3.921910451,0.415730688,Type3,simplex,3.50,0.75,7.45,7.45,WI,Upper_Midwest,viroqua,viroqua,"Viroqua, Vernon County, Wisconsin",43.46,-91.20,969.00,May,30,1956,4.35,26.99,18.71,22.85,4.78,-6.60,-0.91,4.78,-6.60,-0.91,4.78,-6.60,-0.91,1.87,1.87,1.87
151,CBP_1_WM_VIR,2.914058268,0.094576802,Type6,simplex,7.29,2.21,30.12,29.64,VI,Southeast,williamsburg,williamsburg2,"Williamsburg City, N/A, Virginia",37.27,-76.72,26.00,April,13,1967,0.10,13.53,2.17,7.85,13.32,1.76,7.54,20.63,9.23,14.93,20.04,8.67,14.36,2.10,2.77,2.87
152,CBP_10_BRIT_Tex,4.339617325,0.268283181,Type3,simplex,4.63,1.25,14.14,13.75,TX,South,Dallas,Dallas1,"Dallas, Texas",32.78,-96.81,128.00,March ,27,1973,2.78,26.03,9.72,17.88,16.26,4.89,10.58,24.70,12.59,18.65,24.29,12.73,18.51,2.87,2.20,3.54
153,CBP_10_BRIT_Tex,3.955015214,0.200367292,Type6,simplex,5.14,1.15,17.14,16.45,TX,South,Dallas,Dallas1,"Dallas, Texas",32.78,-96.81,128.00,March ,27,1973,2.78,26.03,9.72,17.88,16.26,4.89,10.58,24.70,12.59,18.65,24.29,12.73,18.51,2.87,2.20,3.54
154,CBP_10_BRIT_Tex,2.79231471,0.33163534,Type3,simplex,3.65,1.23,15.49,14.90,TX,South,Dallas,Dallas1,"Dallas, Texas",32.78,-96.81,128.00,March ,27,1973,2.78,26.03,9.72,17.88,16.26,4.89,10.58,24.70,12.59,18.65,24.29,12.73,18.51,2.87,2.20,3.54
155,CBP_10_CSCN_IDA,,,,,3.73,1.36,20.64,20.09,ID,Northwest,N/A,N/A,Fremond County_Idaho_Island Park,44.23,-111.48,1918.00,June,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156,CBP_10_CSCN_IDA,,,,,3.51,0.73,8.36,8.24,NE,Northern_Rockies_and_Plains,chadron,chadron1,Dawes County_Nebraska_Chadron,42.82,-103.00,1030.00,March,14,1983,0.00,19.83,8.13,13.98,9.41,-4.91,2.25,15.48,2.07,8.77,16.17,1.14,8.65,0.84,3.58,1.40
157,CBP_10_DOV_DELA,2.221157943,0.192159678,Type3,simplex,6.38,2.84,24.13,24.00,DE,Northeast,dover,dover3,"Dover, Kent County, Delaware",39.22,-75.63,301.00,October,23,1984,3.60,25.18,16.57,20.88,3.09,3.09,3.09,17.58,6.23,11.90,18.09,6.65,12.37,3.09,3.56,2.99
158,CBP_10_HARV_VIR,2.959885905,0.380915873,Type3,simplex,4.30,1.32,11.09,11.07,VI,Southeast,hampton,hampton,"Hampton , N/A, Virginia",37.01,-76.30,301.00,April,7,1887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
