,sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length,width,preimeter,area,state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp_in,max_temp_C,min_temp_C,avg_temp_C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp_6monthsprior,avg_tmax_previous_.year,avg_tmin_previous_.year,tavg_previous_.year,avg_tmax_.year_DOC,avg_tmin_.year_DOC,tavg_.year_DOC,avgprecp_6monthsprior,avg_precp_previous_year,avg_precp_year_DOC
77,232,CBP_19_WIS_WIS,4.024086626,0.371505512,Type1a2,rhomboidea,6.35,2.3,19.6,19.3,WI,Upper_Midwest,,,Wisconsin,#N/A,#N/A,#N/A,,#N/A,1886,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
78,171,CBP_11_CSCN_IDA,3.617891509,0.371215533,Type2a2,rhomboidea,5.38,1.2,13.47,13.33,NE,Northern_Rockies_and_Plains,chadron,chadron2,Dawes County_Nebraska_Chadron,42.84,-103,1030,April ,16,1977,0,17.43,-0.17,8.63,6.79,-8.01,-0.61,16.41,0.66,8.54,18.45,2.76,10.6,0.0113,0.0125,0.0156
79,62,CBP_1_HAR_MARY,3.603990931,0.369502634,Type3,rhomboidea,3.12,0.77,7.6,7.55,MD,Northeast,accokeek,accokeek,Prince Georges County_Maryland_Accokeek,38.7,-77.07,59,April,20,1985,3.133,12.192,17.08,6.95,11.69,-0.12,5.79,18.84,7.14,12.99,19.28,8.18,13.73,0.0194,0.0247,0.0342
80,392,CBP_4_MICH_MICH,3.368170151,0.369053554,Type3,rhomboidea,4.02,1.21,9.62,9.6,MI,Upper_Midwest,Beaver Island,Beaver Island,"Beaver Island, Charlevoix County, Michigan",45.61,-85.59,212,June,26,1958,0.263,15.6,10.6,13.1,#N/A,#N/A,#N/A,14.08,2.27,8.18,15.6,10.6,13.1,#N/A,0.0225,0.0263
81,403,CBP_4_USF_FLOR,3.047495812,0.364446616,Type3,rhomboidea,3.49,1.18,8.67,8.61,FL,Southeast,homestead,homestead3,"Homestead, Dade County, Florida",25.57,-80.67,1,December,2,1997,0,25.57,15.88,20.72,30.96,22.45,26.71,29.71,20.17,24.94,29.64,20.33,24.98,0.0526,0.0449,0.0487
82,214,CBP_16_BRIT_Tex,3.404644719,0.361300681,Type3,rhomboidea,2.28,0.74,5.86,5.76,TX,South,FortWorth,FortWorth11,"Fort Worth, Texas",32.73,-97.32,198,February ,25,1974,0,9.8,-6.68,1.56,2.32,20.65,7.33,24.27,11.45,17.86,24.5,11.59,18.04,0.0232,0.0283,0.0261
83,190,CBP_12_WIS_WIS,4.257350984,0.360319389,Type3,rhomboidea,8.85,2.05,19.1,19.05,WI,Upper_Midwest,madison,madison7,"Madison, Madison County, Wisconsin",43.07,-89.4,266,October,#N/A,1893,0,27.16,17.99,22.58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
84,449,CBP_5_URV_VIR,4.049760161,0.359726614,Type3,rhomboidea,3.12,0.7,6.72,6.72,VI,Southeast,richmond,richmond5,"Richmond, Henrico County, Virginia",37.54,-77.43,50.7,April,25,1932,0.033,25.3,9.15,17.23,10.2,-0.62,4.79,20.04,8.09,14.06,19.69,7.73,13.71,0.0362,0.0323,0.0327
85,506,CBP_8_CSCN_IDA,4.726831892,0.359360075,Type3,rhomboidea,5.45,1.64,14,13.86,NE,Northern_Rockies_and_Plains,chadron,chadron4,Dawes County_Nebraska_Chadron,42.82,-103,1030,June,22,1976,0.004,21.34,2.78,12.06,13.19,-1.59,5.8,17.74,1.47,9.61,16.32,0.71,8.51,0.0103,0.0101,0.0102
86,494,CBP_7_SAT_Tex,2.469265212,0.359197115,Type6,rhomboidea,3.79,0.88,8.36,8.26,TX,South,Hondo,Hondo1,"Hondo, Texas",29.35,-99.14,271,March ,26,1970,0,28.35,3.35,15.85,21,7.32,14.16,27.47,13.29,20.38,27.21,12.76,19.99,0.0226,0.0223,0.0159
87,86,CBP_1_MSSA_UTAH,3.505706862,0.358556592,Type3,rhomboidea,5.76,1.41,13.71,13.53,UT,Southwest,saltlakecity,saltlakecity1,"Salt Lake City, Salt Lake County, Utah",40.76,-111.89,1307.2,June,10,1880,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
88,468,CBP_6_MICH_MICH,3.45701655,0.358171254,Type1a2,rhomboidea,4.9,1.35,11.96,11.92,NE,Upper_Midwest,Ypsilanti,Ypsilanti,"Ypsilanti, Washtenaw County, Michigan",42.24,-83.61,219,May,17,1916,0.008,10.68,4.85,7.64,5.29,-4.75,0.27,13.63,3.08,8.35,14.99,3.2,9.09,0.0199,0.0255,0.0212
89,250,CBP_2_ESTU_VIR,3.306587921,0.35657736,Type3,rhomboidea,3.88,0.83,9.57,9.48,VI,Southeast,,,"Kingsport, Scott County, Virginia",36.7,-82.73,30,April,#N/A,1978,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
90,3,CBP_1_ALB_MICH,4.003027241,0.356479577,Type1a2,rhomboidea,4.71,1,10.2,10.17,MI,Upper_Midwest,,,"Lowell, Kent County, Michigan",42.97,-85.32,301,August,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
91,191,CBP_13_BRIT_Tex,3.922476379,0.356374563,Type1a2,heteris,5.08,1.07,12.75,12.35,TX,South,FortWorth,FortWorth2,"Fort Worth, Texas",32.73,-97.32,198,February ,25,1974,0,9.8,-6.68,1.56,20.65,7.33,13.99,24.27,11.45,17.86,24.5,11.59,18.04,0.0232,0.0283,0.0261
92,329,CBP_3_HAR_FLOR,3.588318989,0.355219011,Type1a2,rhomboidea,5.39,1.4,13.62,13.58,FL,Southeast,marianna,marianna1,"Marianna, Jackson, Florida",30.77,-85.23,51,February,9,1957,0.041,28.23,14.63,21.43,24.87,11.59,18.23,27.07,14.17,20.62,26.52,14.52,20.52,0.0257,0.0342,0.0406
93,91,CBP_1_MUHW_OHIO,3.134221209,0.354244165,Type6,rhomboidea,3.15,0.88,7.59,7.49,OH,Ohio_Valley,ironton,ironton,"Ironton, Lawrence County, Ohio",38.6,-82.64,301,April,27,1984,0.09,29.43,11.87,20.65,9.32,-2.53,3.39,18.49,5.15,11.82,18.2,5.48,11.84,0.0266,0.0309,0.0276
94,118,CBP_1_SAT_Tex,3.379548388,0.354170097,Type6,rhomboidea,2.75,1.08,5.33,5.35,TX,South,Waco,Waco1,"Waco, Texas",31.55,-97.15,142,February,15,1982,0,20.46,8.76,14.61,20.98,7.95,14.46,25.25,12.71,18.98,25.49,12.89,19.19,0.0211,0.0246,0.0197
95,219,CBP_16_WIS_WIS,4.173846491,0.352851773,Type3,rhomboidea,4.95,1.1,10.6,10.6,WI,Upper_Midwest,,,"Wisconsin, ",#N/A,#N/A,#N/A,May,22,1962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
96,355,CBP_3_VSC_GEOR,3.046901017,0.351262735,Type3,rhomboidea,5.18,1.59,13.09,13.03,GA,Southeast,quitman,quitman1,"Quitman, Brooks County, Georgia",31.97,-83.56,57.9,April,17,1966,0,27,9.68,18.34,18.01,4.73,11.37,24.62,11.73,18.17,24.35,11.54,17.94,0.0349,0.0336,0.0357
97,488,CBP_7_HARV_VIR,2.468776583,0.348147557,Type3,rhomboidea,6.24,1.68,18.35,18.31,VI,Southeast,exmore,exmore,"Exmore, Northamptom County, Virginia",37.35,-75.95,986,October,11,1935,0,26.4,12.2,19.3,26.47,16.61,21.54,19.32,9.14,14.23,19.04,9.41,14.22,0.0317,0.0264,0.0285
98,397,CBP_4_PH_DELA,2.934949018,0.347877403,Type3,rhomboidea,3.59,1.22,9.43,9.37,DE,Northeast,wilmington,wilmington2,"Wilmington, New Castle County, Delaware",39.75,-75.55,28,June,3,1898,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
99,295,CBP_2_UWFP_FLOR,2.910337846,0.347118098,Type3,rhomboidea,3.74,1.21,10.05,9.93,FL,Southeast,pensacola,pensacola2,"Pensacola, Escambia County, Florida",30.43,-87.24,31,February,19,1977,0.138,21.46,11.12,16.29,18.14,6.4,12.27,23.58,11.57,17.57,25.52,14.17,19.84,0.0415,0.0357,0.0353
100,45,CBP_1_FSU_ALA,2.370385963,0.345765583,Type1a1,rhomboidea,6.29,2.46,20.23,19.94,AL,Southeast,mobile,mobile1,"Mobile, Mobile County, Alabama",30.7,-88.04,3,March,1,1992,0,24.27,7.31,15.79,19.69,6.96,13.33,25.01,13.44,19.22,24.79,13.01,18.9,0.0414,0.0521,0.0476
101,5,CBP_1_ARIZ_ALA,2.69612803,0.345637841,Type6,rhomboidea,7,2.58,21.08,20.83,AL,Southeast,andalusia,andalusia1,"Andalusia, Covington County, Alabama",31.41,-86.61,108,December,30,2017,0.01,15.72,2.09,8.91,27.67,16.86,22.27,26.52,15.27,20.89,26.54,15.31,20.92,0.0481,0.0569,0.057
102,529,CBP_9_MARY_MARY,3.152400391,0.342758779,Type3,rhomboidea,5.37,1.58,13.79,13.6,MD,Northeast,ellicottcity,ellicottcity,Howard County_Maryland_Ellicott City,39.27,-76.8,55,,#N/A,1964,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
103,205,CBP_14_SAT_Tex,3.369639681,0.34203304,Type6,heteris,4.27,1.18,9.51,9.31,TX,South,SanAngelo,SanAngelo2,"San Angelo, Texas",31.27,-100.28,579,March,7,2012,0,22.8,12.1,17.45,19.41,4.23,11.82,28.21,11.8,20,26.72,11.45,19.09,0.0209,0.0152,0.0244
104,209,CBP_15_SAT_Tex,3.371852162,0.34203304,Type3,heteris,6.07,1.93,17.88,17.65,TX,South,Llano,Llano1,"Llano, Texas",30.76,-96.68,99,February ,11,2016,0,25.57,5.2,15.38,23.5,10.16,16.83,26.28,14.01,20.15,26.8,14.31,20.55,0.0459,0.0428,0.0402
105,194,CBP_13_MICH_MICH,4.991659561,0.341241104,Type1a1,rhomboidea,6.29,0.96,13.61,13.59,MI,Upper_Midwest,Alpena,Alpena,"Alpena, Alpena County, Michigan",45.08,-83.44,969,May,26,1972,#N/A,#N/A,#N/A,#N/A,-2.1,-5.7,-3.9,10.93,-0.05,5.44,10.51,0.18,5.34,0.0168,0.0206,0.0213
106,360,CBP_31_WIS_WIS,2.973448195,0.341115263,Type3,rhomboidea,7,2.05,19.8,19.55,WI,Upper_Midwest,madison,madison5,"Madison, Dane County, Wisconsin",43.07,-89.4,266,May,26,1886,0,16.6,8.08,12.34,3.5,-4.72,-0.61,3.5,-4.72,-0.61,3.5,-4.72,-0.61,0.0264,0.0264,0.0264
107,70,CBP_1_HCMH_MICH,3.433692843,0.341007344,Type1a2,rhomboidea,4.55,1,10.33,10.25,MI,Upper_Midwest,Charlevoix County,Charlevoix County,"Charlevoix County, Michigan",45.28,-84.74,969,October,5,1985,0.415,10.83,2.95,6.89,6.54,-3.24,1.65,14.81,3.77,9.29,11.42,0.69,6.05,0.0221,0.0226,0.0267
108,11,CBP_1_BHSU_MON,3.016406899,0.340364938,Type6,rhomboidea,2.33,2.11,7,6.67,NE,Northern_Rockies_and_Plains,glasgow,,Valley County_Montana_Glasgow,48.2,-106.62,637,May,10,2011,3.032,10.28,5.08,7.68,-0.79,-11.05,-5.92,11.04,-1.38,4.83,12.81,-0.07,6.37,0.0128,0.0159,0.0196
109,180,CBP_11_WIS_WIS,3.179349283,0.334916677,Type3,rhomboidea,5,1.53,12.74,12.53,WI,Upper_Midwest,waupan,waupan,"Waupan, Fond Du Lac County, Wisconsin",43.66,-88.86,969,June,6,1965,0.656,26.41,16.68,21.54,6.36,-4.36,1,6.36,-4.36,1,6.36,-4.36,1,0.0183,0.0183,0.0183
110,315,CBP_3_BRIT_Tex,3.648525498,0.333811092,Type3,rhomboidea,9.51,2.41,29.53,28.9,TX,South,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,April ,2,1935,0,24.48,12.1,18.29,18.28,4.97,11.63,27.12,13.28,20.2,23.94,11.55,17.74,0.0234,0.0185,0.0361
111,316,CBP_3_BRIT_Tex,3.648525498,0.333811092,Type3,rhomboidea,9.03,1.74,24.66,23.8,TX,South,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,April ,2,1935,0,24.48,12.1,18.29,18.28,4.97,11.63,27.12,13.28,20.2,23.94,11.55,17.74,0.0234,0.0185,0.0361
112,420,CBP_5_ACU_Tex,3.437847026,0.333229211,Type1a2,rhomboidea,3.85,0.95,10.01,9.82,TX,South,Waco,Waco3,"Waco, Texas",31.55,-97.15,142,February ,22,1982,0,29.02,6.56,17.79,21.12,7.89,14.51,25.3,12.72,19.01,25.49,12.89,19.19,0.0202,0.0245,0.0197
113,154,CBP_10_BRIT_Tex,2.79231471,0.33163534,Type3,rhomboidea,3.65,1.23,15.49,14.9,TX,South,Dallas,Dallas1,"Dallas, Texas",32.78,-96.81,128,March ,27,1973,0.278,26.03,9.72,17.88,16.26,4.89,10.58,24.7,12.59,18.65,24.29,12.73,18.51,0.0287,0.022,0.0354
114,198,CBP_13_WIS_WIS,2.839259902,0.330268364,Type3,rhomboidea,5.15,1.35,14.7,14.45,WI,Upper_Midwest,,," Milwaukee, Milwaukee County, Wisconsin",43.04,-87.91,188,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
115,415,CBP_45_WIS_WIS,3.773059912,0.329827069,Type3,rhomboidea,3.95,0.8,8.85,8.8,WI,Upper_Midwest,oshkosh,oshkosh,"Oshkosh, Winnebago County, Wisconsin",44.83,-87.38,178,May,20,1965,0,18.78,4.88,11.83,3.03,-7.03,-2,3.03,-7.03,-2,3.03,-7.03,-2,0.0203,0.0203,0.0203
116,534,CBP_9_UWFP_FLOR,3.005274341,0.328975728,Type3,rhomboidea,6.38,2.02,18.45,18.29,FL,Southeast,pensacola,pensacola9,"Pensacola, Escambia County, Florida",30.43,-87.24,31,February,17,1990,1.332,19.34,11.78,15.56,20.98,9.33,15.15,25.75,14.86,20.31,25.85,14.61,20.23,0.0513,0.0487,0.0449
117,357,CBP_3_WIS_WIS,4.0627299,0.328541183,Type6,rhomboidea,5.25,1.2,13,12.55,WI,Upper_Midwest,newlondon,newlondon1,"New London, Outgamie County, Wisconsin",44.28,-88.71,969,October,9,1977,1.259,22.78,15.99,19.38,8.1,-3.31,2.4,8.1,-3.31,2.4,8.1,-3.31,2.4,0.0164,0.0164,0.0164
118,195,CBP_13_SAT_Tex,3.29544666,0.327397684,Type1a2,rhomboidea,3.58,0.98,11,10.21,TX,South,SanAngelo,SanAngelo1,"San Angelo, Texas",31.46,-100.44,561,Feb,25,2002,0,24.23,1.83,13.03,20.66,5.5,13.08,25.71,11.02,18.37,25.67,11.19,18.43,0.0119,0.0116,0.0141
119,188,CBP_12_URV_VIR,3.829557574,0.326123419,Type1a3,rhomboidea,7.12,1.5,16.88,16.74,VI,Southeast,richmond,richmond10,"Richmond City, , Virginia",37.54,-77.43,50.7,April ,27,1931,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120,125,CBP_1_TTRS_GEOR,3.308086339,0.322917952,Type3,rhomboidea,3.7,0.95,9.3,9.23,GA,Southeast,gray,gray,"Gray, Jones County, Georgia",33.01,-83.53,184,April,11,1965,0.141,26.36,15.58,20.97,17.59,4.28,10.94,24.08,11.07,17.58,23.61,10.43,17.02,0.0379,0.035,0.0301
121,330,CBP_3_HAR_IDA,3.139832792,0.320600766,Type1a2,rhomboidea,4.51,1.13,16.64,16.4,NE,Northern_Rockies_and_Plains,neligh,neligh,Antelope County_Nebraska_Neligh,42.13,-98.03,534,May,2,1896,#N/A,#N/A,#N/A,#N/A,7.03,-6.77,0.13,15.52,-0.12,7.7,16.34,1.68,9.01,0.0169,0.0164,0.0222
122,258,CBP_2_GMUF_VIR,3.940993783,0.319150355,Type3,rhomboidea,3.61,0.89,8.59,8.43,VI,Southeast,winchester,winchester3,"Winchester, Frederick County, Virginia",39.07,-78.32,301,May,8,1971,1.25,18.36,8.64,13.5,9.1,-2.62,3.24,17.33,5.55,11.44,17.28,5.79,11.54,0.0218,0.0285,0.0306
123,129,CBP_1_UGA_ALA,4.494820363,0.318754418,Type3,rhomboidea,6.24,1.24,13.49,13.46,AL,Southeast,andalusia,andalusia2,"Andalusia, Covington County, Alabama",31.41,-86.61,357,December,30,2017,0.01,15.72,2.09,8.91,27.67,16.86,22.27,26.52,15.27,20.89,26.54,15.31,20.92,0.0481,0.0569,0.057
124,59,CBP_1_HAR_IDA,3.747320721,0.318092992,Type3,rhomboidea,7.11,1.79,18.11,17.47,ID,Northwest,,,Canyon County_Idaho_New Plymouth,43.97,-116.82,690,June,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
125,317,CBP_3_BRY_UTAH,3.929621126,0.316533448,Type6,rhomboidea,4.54,0.99,10.98,10.94,UT,Southwest,springville,springville1,"Springville, Utah County, Utah",40.17,-111.36,2404,June,24,2020,0,27.94,10.68,19.31,10.89,-1.06,4.92,14.14,1.55,7.85,14.78,1.69,8.24,0.015,0.0141,0.01
126,475,CBP_6_UWFP_FLOR,2.953964047,0.3157259,Type3,rhomboidea,4.33,1.38,13.02,12.88,FL,Southeast,pensacola,pensacola6,"Pensacola, Escambia County, Florida",30.43,-87.24,31,December,20,2002,0.482,17.34,5.9,11.62,19.25,6.66,12.95,24.8,13.23,19.01,24.89,13.21,19.05,0.0628,0.0586,0.0467
128,207,CBP_15_BRIT_Tex,3.86870586,0.313492307,Type3,heteris,2.66,0.7,6.51,6.39,TX,South,Arlington,Arlington1,"Arlington, Texas",32.74,-97.11,183,March ,19,1971,0.2,16.34,1.34,8.84,18.97,5.32,12.15,25.17,12.74,18.96,24.79,12.51,18.65,0.0091,0.0186,0.0262
129,363,CBP_34_WIS_WIS,4.341715127,0.31179296,Type3,rhomboidea,5.15,0.9,12.15,11.9,WI,Upper_Midwest,,,"Oshkosh, Winnebago County, Wisconsin",44.03,-88.55,233,,#N/A,1965,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
130,370,CBP_4_ASU_ARIZ,4.028775167,0.311707941,Type3,rhomboidea,5.23,1.02,13.33,13.02,AZ,Southwest,cochise,cochise,Cochise County_Arizona_Cochise,31.45,-109.92,1287,April,13,2003,0,27.14,10.73,18.94,18.55,2.63,10.59,25.23,9.24,17.23,25.69,9.46,17.57,0.054,0.0824,0.0736
131,74,CBP_1_JCIH_GEOR,3.041734452,0.310097118,Type3,rhomboidea,4.19,1,12.14,12.06,GA,Southeast,newton,newton,"Newton, Baker County, Georgia ",33.6,-83.86,43,March,2,2017,0.804,20.9,5.4,13.15,20.3,5.28,12.79,25.6,11.37,18.48,23.52,10.91,17.22,0.0322,0.0299,0.0467
132,51,CBP_1_GA_VIR,4.019555272,0.309642614,Type6,rhomboidea,6.6,1.48,15.65,15.45,VI,Southeast,winchester,winchester1," Winchester, Loudon County, Virginia",39.11,-77.83,301,May,30,1904,#N/A,#N/A,#N/A,#N/A,10.79,-2.5,4.15,17.7,3.85,10.78,18.05,3.68,10.86,0.0165,0.024,0.0239
133,336,CBP_3_MARY_MARY,4.994933329,0.309321235,Type3,rhomboidea,9.18,1.5,20.41,20.05,MD,Northeast,uppermarlboro,uppermarlboro,Prince Georges County_Maryland_Upper Marlboro,38.82,-76.75,7,March,29,1990,#N/A,#N/A,#N/A,#N/A,12.79,0.85,6.82,19.42,7.89,13.66,#N/A,#N/A,#N/A,0.0256,0.0355,#N/A
134,312,CBP_3_ASU_ARIZ,3.875136926,0.307887904,Type3,rhomboidea,5.21,1.49,13.69,13.56,AZ,Southwest,tempe,tempe3,"Maricopa County_Arizona_Phoenix, Tempe",33.43,-111.94,347.27,February,7,2015,0,26.4,9.68,18.04,26.21,12.77,19.49,30.41,15.79,23.1,30.21,16.03,23.12,0.1613,0.1089,0.0803
135,124,CBP_1_TROY_ALA,2.801942552,0.307725526,Type3,rhomboidea,2.23,1,18.8,18.75,AL,Southeast,dothan,dothan,"Dothan, Houston County, Alabama",31.23,-85.39,317,December,11,2011,0.038,12.98,2.64,7.81,28.94,15.43,22.19,26.26,12.1,19.18,26.56,12.5,19.53,0.034,0.03,0.0315
136,240,CBP_2_BRY_UTAH,3.921819582,0.3068459,Type3,rhomboidea,6.47,1.21,15.58,15.37,UT,Southwest,eureka,eureka3,"Eureka, Toole County, Utah",40.02,-112.41,1813.97,May,24,1995,1.078,17.79,6.9,12.34,10.88,-2.46,4.21,18.86,3.4,11.13,18.41,2.12,10.27,0.018,0.014,0.012
137,21,CBP_1_CMC_MICH,5.550398875,0.305712878,Type3,rhomboidea,8.1,1.29,17.46,17.44,MI,Upper_Midwest,Mt. Pleasant,Mt. Pleasant,"Mt. Pleasant, Isabella County, Michigan",43.6,-84.9,969,September,18,1997,0.29,26.1,9.15,17.63,21.68,8.01,14.84,12.53,1.25,6.89,13.18,1.5,7.34,0.0212,0.0217,0.0186
138,244,CBP_2_CSCN_IDA,3.572120395,0.305207389,Type3,rhomboidea,4.48,0.83,10.8,10.72,NE,Northern_Rockies_and_Plains,littlebluetownship,littlebluetownship,Adams County_Nebraska_Little Blue Township,40.4,-98.33,565,May,21,1990,0.715,14.7,7.5,11.1,10.18,-3.52,3.33,17.53,3.51,10.52,18.38,4.29,11.34,0.0154,0.02,0.0189
139,37,CBP_1_FARM_VIR,2.882381051,0.305197334,Type1a2,rhomboidea,4.43,1.48,11.23,11.16,VI,Southeast,roanokecounty,roanokecounty,"Roanoke County, Virginia",37.27,-79.94,530,June,12,1979,0,23.72,7.87,15.79,14.31,2.18,8.24,18.88,6.18,12.53,18.04,5.95,12,0.038,0.0299,0.0371
140,366,CBP_37_WIS_WIS,4.146403507,0.303933515,Type3,rhomboidea,8.79,2.05,21.47,21.32,WI,Upper_Midwest,wetboro,wetboro,"Westboro, Taylor County, Wisconsin",45.36,-90.29,449,July,18,1993,0.075,25.2,17.2,21.2,11.2,-0.73,5.23,11.2,-0.73,5.23,11.2,-0.73,5.23,0.0265,0.0265,0.0265
141,63,CBP_1_HAR_MON,2.707549291,0.303683787,Type1a1,rhomboidea,5.05,1.23,12.81,12.67,NE,Northern_Rockies_and_Plains,,,Montana,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
142,141,CBP_1_USFS_ARIZ,1.741253424,0.303309098,Type3,simplex,4.95,2.75,18.34,18.23,AZ,Southwest,roosevelt,roosevelt,Gila County_Arizona_Roosevelt,33.67,-111.13,675,December,6,2000,0,19.76,4.44,12.1,29.93,15.78,22.85,27.36,12.06,19.71,27.4,12.09,19.74,0.1732,0.1076,0.1079
143,29,CBP_1_DOV_DELA,2.547936177,0.30263868,Type3,rhomboidea,2.54,0.93,7.07,7,DE,Northeast,,,"Newark, New Castle County, Delaware",39.68,-75.75,39,April,16,1925,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
144,346,CBP_3_SAT_Tex,2.444114413,0.302482574,Type3,rhomboidea,5.39,1.09,16.79,16.25,TX,South,Mason,Mason,"Mason, Texas",30.75,-99.23,468,March ,19,1994,0,30,11.1,20.55,19.14,4.32,11.73,25.68,10.62,18.15,26.13,11.31,18.72,0.0129,0.0162,0.0215
145,530,CBP_9_MICH_MICH,3.049455879,0.301274888,Type3,rhomboidea,4.16,1.35,10.99,10.96,MI,Upper_Midwest,East Lansing,East Lansing,"East Lansing, Ingham County, Michigan",42.74,-84.48,261,May,13,1938,0,17.93,-0.68,8.63,5.11,-3.38,0.87,13.81,3.24,8.53,15.2,4.17,9.68,0.0313,0.028,0.0238
146,270,CBP_2_LSU_GEOR,3.925505581,0.301015635,Type3,rhomboidea,9.33,2.38,24.98,24.88,GA,Southeast,athens,athens3,"Athens, Clarke County, Georgia",33.95,-83.38,194,April,14,1911,#N/A,#N/A,#N/A,#N/A,16.13,3.44,9.78,22.52,10.46,16.49,24.1,11.39,17.74,0.0249,0.0309,0.0314
147,87,CBP_1_MSU_ARIZ,5.074049242,0.30053592,Type3,rhomboidea,3.46,0.44,7.68,7.83,AZ,Southwest,sedona,sedona,Coconine County_Arizona_Sedona,35.03,-111.75,1330,May,6,1961,0,17.8,2.44,10.12,14.66,-1.72,6.47,21.72,4.54,13.13,21.04,4.04,12.54,0.0826,0.1019,0.1205
148,398,CBP_4_SAT_Tex,4.828542578,0.300458175,Type6,rhomboidea,9.13,2.08,24.66,23.8,TX,South,CollegeStation,CollegeStation5,"College Station, Texas",30.63,-96.33,102,February,22,1977,0.004,26.1,6.67,16.38,24.37,9.23,16.8,27.09,13.69,20.39,27.4,12.73,20.06,0.0247,0.0308,0.0227
149,109,CBP_1_NY_NEVA,3.826000321,0.298161932,Type3,rhomboidea,7.05,1.63,17.15,17.12,NV,West,welcome,welcome,Elko County_Nevada_Welcome,41.05,-115.18,1733,May,23,1941,0.245,25.1,6.66,15.88,9.25,-4.8,2.22,15.87,-1.01,7.43,19.66,2.66,11.16,0.0111,0.0088,0.0131
150,426,CBP_5_CSCN_IDA,1.975865776,0.297854737,Type1a2,rhomboidea,3.33,1.07,12.76,12.53,NE,Northern_Rockies_and_Plains,longpine,longpine,Banner County_Nebraska_Long Pine,41.42,-103.53,732,May,2,1987,0.09,27.12,9.58,18.35,9.55,-6.17,1.69,17.31,1.21,9.26,17.54,0.82,9.18,0.0063,0.0123,0.0128
151,31,CBP_1_DOV_VIR,2.745151668,0.296849948,Type6,rhomboidea,8.63,2.09,23.46,23.33,VI,Southeast,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.07,-75.56,2,May,22,1938,0.828,27.56,15.56,21.56,14.09,3.04,8.56,19.59,8.57,14.08,20.14,9.02,14.58,0.0244,0.0334,0.0386
152,440,CBP_5_MICH_MICH,2.744330734,0.296657886,Type3,rhomboidea,4.29,1.52,11.91,11.85,MI,Upper_Midwest,Richmond,Richmond,"Richmond, Macomb County, Michigan",42.84,-82.88,1134,June,18,1958,0.244,21.68,11.4,16.54,9.77,-0.38,4.69,14.36,4.21,9.28,14.19,3.73,8.96,0.0115,0.0194,0.0138
153,276,CBP_2_NLU_VIR,3.860065522,0.29654304,Type3,rhomboidea,5.82,2.46,29.69,29.18,VI,Southeast,leesburg,leesburg,"Leesburg, Loudoun County, Virginia",39.11,-77.55,104,April,24,1969,0.014,13.37,4.8,9.09,9.09,-1.24,3.93,17.42,6.02,11.72,17.88,6.5,12.19,0.0186,0.0246,0.0253
